#,Name,MLBAMID,RazzballID,FanGraphsID,NFBCID,FantraxID,Team,STD_POS,YAHOO_POS,Last,First,Lastv2,Firstv2,YahooName
1053,Jason Foley,671345,671345,19531,11127,*04aoq*,DET,RP,RP,Foley,Jason,Foley,Jason,Jason Foley
1054,George Valera,671655,671655,22541,10205,*04fqi*,CLE,OF,OF,Valera,George,Valera,George,George Valera
1055,Marquis Grissom Jr.,671726,671726,sa3020312,12334,,WSH,RP,RP,Grissom Jr.,Marquis,Grissom Jr.,Marquis,
1056,Lawrence Butler,671732,671732,22542,11649,*04prt*,ATH,OF,OF,Butler,Lawrence,Butler,Lawrence,Lawrence Butler
1057,Taj Bradley,671737,671737,22543,11588,*04pr8*,MIN,SP,SP,Bradley,Taj,Bradley,Taj,Taj Bradley
1058,Michael Harris II,671739,671739,25931,11065,*0512v*,ATL,OF,OF,Harris II,Michael,Harris II,Michael,Michael Harris II
1059,Damiano Palmegiani,671913,671913,sa3017326,11946,*05wbq*,TOR,3B,3B,Palmegiani,Damiano,Palmegiani,Damiano,
1060,Cade Smith,671922,671922,27867,11982,*04eor*,CLE,RP,RP,Smith,Cade,Smith,Cade,Cade Smith
1061,Adam Macko,671936,671936,sa3011555,11971,*0515q*,TOR,SP,SP,Macko,Adam,Macko,Adam,Adam Macko
1062,Tyler Black,672012,672012,29949,11890,*05u2u*,MIL,2B,2B,Black,Tyler,Black,Tyler,Tyler Black
1063,Denzel Clarke,672016,672016,29858,12241,*05unf*,ATH,OF,OF,Clarke,Denzel,Clarke,Denzel,Denzel Clarke
